Wavelength,n,k
0.673,0.063715,4.491387
0.674,0.063794,4.499331
0.675,0.063874,4.507273
0.676,0.063954,4.515213
0.677,0.064034,4.52315
0.678,0.064114,4.531085
0.679,0.064195,4.539017
0.68,0.064277,4.546947
0.681,0.064359,4.554875
0.682,0.064441,4.562801
0.683,0.064523,4.570724
0.684,0.064606,4.578646
0.685,0.064689,4.586565
0.686,0.064773,4.594481
0.687,0.064857,4.602396
0.688,0.064941,4.610308
0.689,0.065026,4.618218
0.69,0.065111,4.626126
0.691,0.065196,4.634032
0.692,0.065282,4.641936
0.693,0.065368,4.649837
0.694,0.065455,4.657737
0.695,0.065542,4.665634
0.696,0.065629,4.67353
0.697,0.065717,4.681423
0.698,0.065805,4.689314
0.699,0.065893,4.697203
0.7,0.065982,4.70509
0.701,0.066071,4.712976
0.702,0.066161,4.720859
0.703,0.066251,4.728739
0.704,0.066341,4.736619
0.705,0.066432,4.744496
0.706,0.066523,4.752371
0.707,0.066615,4.760244
0.708,0.066707,4.768115
0.709,0.066799,4.775984
0.71,0.066892,4.783852
0.711,0.066985,4.791718
0.712,0.067078,4.799581
0.713,0.067172,4.807443
0.714,0.067266,4.815302
0.715,0.067361,4.823161
0.716,0.067456,4.831017
0.717,0.067551,4.838871
0.718,0.067647,4.846723
0.719,0.067743,4.854574
0.72,0.06784,4.862422
0.721,0.067937,4.87027
0.722,0.068034,4.878115
0.723,0.068132,4.885958
0.724,0.06823,4.8938
0.725,0.068328,4.901639
0.726,0.068427,4.909478
0.727,0.068526,4.917314
0.728,0.068626,4.925148
0.729,0.068726,4.932981
0.73,0.068827,4.940813
0.731,0.068928,4.948642
0.732,0.069029,4.95647
0.733,0.06913,4.964296
0.734,0.069232,4.97212
0.735,0.069335,4.979943
0.736,0.069438,4.987764
0.737,0.069541,4.995584
0.738,0.069645,5.003401
0.739,0.069749,5.011218
0.74,0.069853,5.019032
0.741,0.069958,5.026845
0.742,0.070063,5.034656
0.743,0.070168,5.042466
0.744,0.070274,5.050274
0.745,0.070381,5.05808
0.746,0.070488,5.065885
0.747,0.070595,5.073689
0.748,0.070702,5.08149
0.749,0.07081,5.08929
0.75,0.070918,5.097089
0.751,0.071027,5.104886
0.752,0.071136,5.112681
0.753,0.071246,5.120476
0.754,0.071356,5.128268
0.755,0.071466,5.136059
0.756,0.071577,5.143848
0.757,0.071688,5.151637
0.758,0.071799,5.159423
0.759,0.071911,5.167208
0.76,0.072023,5.174992
0.761,0.072136,5.182774
0.762,0.072249,5.190555
0.763,0.072362,5.198334
0.764,0.072476,5.206111
0.765,0.07259,5.213888
0.766,0.072705,5.221663
0.767,0.07282,5.229436
0.768,0.072935,5.237208
0.769,0.073051,5.244979
0.77,0.073167,5.252748
0.771,0.073284,5.260516
0.772,0.073401,5.268282
0.773,0.073518,5.276047
0.774,0.073636,5.283811
0.775,0.073754,5.291574
0.776,0.073872,5.299334
0.777,0.073991,5.307094
0.778,0.07411,5.314852
0.779,0.07423,5.322609
0.78,0.07435,5.330365
0.781,0.074471,5.338119
0.782,0.074591,5.345871
0.783,0.074713,5.353623
0.784,0.074834,5.361373
0.785,0.074956,5.369123
0.786,0.075079,5.37687
0.787,0.075201,5.384616
0.788,0.075325,5.392362
0.789,0.075448,5.400105
0.79,0.075572,5.407848
0.791,0.075696,5.415589
0.792,0.075821,5.423329
0.793,0.075946,5.431068
0.794,0.076072,5.438805
0.795,0.076197,5.446541
0.796,0.076324,5.454277
0.797,0.07645,5.46201
0.798,0.076577,5.469743
0.799,0.076705,5.477474
0.8,0.076833,5.485204
0.801,0.076961,5.492933
0.802,0.077089,5.50066
0.803,0.077218,5.508387
0.804,0.077347,5.516112
0.805,0.077477,5.523836
0.806,0.077607,5.531559
0.807,0.077738,5.53928
0.808,0.077868,5.547001
0.809,0.078,5.55472
0.81,0.078131,5.562438
0.811,0.078263,5.570155
0.812,0.078396,5.577871
0.813,0.078528,5.585586
0.814,0.078661,5.593299
0.815,0.078795,5.601011
0.816,0.078929,5.608723
0.817,0.079063,5.616433
0.818,0.079198,5.624142
0.819,0.079333,5.631849
0.82,0.079468,5.639556
0.821,0.079604,5.647262
0.822,0.07974,5.654966
0.823,0.079877,5.66267
0.824,0.080013,5.670372
0.825,0.080151,5.678073
0.826,0.080288,5.685773
0.827,0.080426,5.693472
0.828,0.080565,5.70117
0.829,0.080703,5.708867
0.83,0.080843,5.716563
0.831,0.080982,5.724257
0.832,0.081122,5.731951
0.833,0.081262,5.739644
0.834,0.081403,5.747335
0.835,0.081544,5.755025
0.836,0.081685,5.762715
0.837,0.081827,5.770403
0.838,0.081969,5.77809
0.839,0.082112,5.785777
0.84,0.082254,5.793462
0.841,0.082398,5.801146
0.842,0.082541,5.808829
0.843,0.082685,5.816512
0.844,0.08283,5.824193
0.845,0.082974,5.831873
0.846,0.083119,5.839552
0.847,0.083265,5.84723
0.848,0.083411,5.854908
0.849,0.083557,5.862584
0.85,0.083703,5.870259
0.851,0.08385,5.877933
0.852,0.083997,5.885606
0.853,0.084145,5.893279
0.854,0.084293,5.900949
0.855,0.084441,5.90862
0.856,0.08459,5.916289
0.857,0.084739,5.923957
0.858,0.084889,5.931625
0.859,0.085039,5.939291
0.86,0.085189,5.946957
0.861,0.085339,5.954621
0.862,0.08549,5.962285
0.863,0.085641,5.969948
0.864,0.085793,5.97761
0.865,0.085945,5.98527
0.866,0.086097,5.99293
0.867,0.08625,6.000589
0.868,0.086403,6.008247
0.869,0.086557,6.015904
0.87,0.08671,6.02356
0.871,0.086865,6.031216
0.872,0.087019,6.03887
0.873,0.087174,6.046523
0.874,0.087329,6.054176
0.875,0.087485,6.061828
0.876,0.087641,6.069478
0.877,0.087797,6.077128
0.878,0.087954,6.084777
0.879,0.088111,6.092425
0.88,0.088268,6.100072
0.881,0.088426,6.107718
0.882,0.088584,6.115364
0.883,0.088742,6.123009
0.884,0.088901,6.130652
0.885,0.08906,6.138295
0.886,0.089219,6.145937
0.887,0.089379,6.153578
0.888,0.089539,6.161219
0.889,0.0897,6.168858
0.89,0.089861,6.176497
0.891,0.090022,6.184134
0.892,0.090184,6.191772
0.893,0.090346,6.199408
0.894,0.090508,6.207043
0.895,0.090671,6.214677
0.896,0.090834,6.222311
0.897,0.090997,6.229943
0.898,0.091161,6.237575
0.899,0.091325,6.245206
0.9,0.091489,6.252836
0.901,0.091654,6.260466
0.902,0.091819,6.268095
0.903,0.091984,6.275723
0.904,0.09215,6.283349
0.905,0.092316,6.290976
0.906,0.092483,6.298601
0.907,0.092649,6.306225
0.908,0.092816,6.313849
0.909,0.092984,6.321472
0.91,0.093152,6.329094
0.911,0.09332,6.336716
0.912,0.093488,6.344337
0.913,0.093657,6.351956
0.914,0.093827,6.359576
0.915,0.093996,6.367194
0.916,0.094166,6.374812
0.917,0.094336,6.382428
0.918,0.094507,6.390044
0.919,0.094678,6.397659
0.92,0.094849,6.405274
0.921,0.095021,6.412888
0.922,0.095192,6.420501
0.923,0.095365,6.428113
0.924,0.095537,6.435724
0.925,0.09571,6.443335
0.926,0.095884,6.450945
0.927,0.096057,6.458554
0.928,0.096231,6.466163
0.929,0.096405,6.473771
0.93,0.09658,6.481378
0.931,0.096755,6.488984
0.932,0.09693,6.496589
0.933,0.097106,6.504194
0.934,0.097282,6.511798
0.935,0.097458,6.519402
0.936,0.097635,6.527004
0.937,0.097812,6.534606
0.938,0.097989,6.542207
0.939,0.098167,6.549808
0.94,0.098345,6.557407
0.941,0.098523,6.565007
0.942,0.098702,6.572605
0.943,0.098881,6.580203
0.944,0.09906,6.5878
0.945,0.09924,6.595396
0.946,0.09942,6.602991
0.947,0.0996,6.610586
0.948,0.099781,6.61818
0.949,0.099961,6.625774
0.95,0.100143,6.633367
0.951,0.100324,6.640959
0.952,0.100506,6.64855
0.953,0.100689,6.656141
0.954,0.100871,6.663731
0.955,0.101054,6.67132
0.956,0.101237,6.678909
0.957,0.101421,6.686497
0.958,0.101605,6.694085
0.959,0.101789,6.701671
0.96,0.101974,6.709257
0.961,0.102159,6.716843
0.962,0.102344,6.724427
0.963,0.102529,6.732011
0.964,0.102715,6.739595
0.965,0.102901,6.747178
0.966,0.103088,6.754759
0.967,0.103275,6.762341
0.968,0.103462,6.769922
0.969,0.103649,6.777502
0.97,0.103837,6.785081
0.971,0.104025,6.79266
0.972,0.104214,6.800239
0.973,0.104402,6.807816
0.974,0.104592,6.815393
0.975,0.104781,6.822969
0.976,0.104971,6.830545
0.977,0.105161,6.83812
0.978,0.105351,6.845695
0.979,0.105542,6.853268
0.98,0.105733,6.860841
0.981,0.105924,6.868414
0.982,0.106116,6.875986
0.983,0.106308,6.883557
0.984,0.1065,6.891128
0.985,0.106693,6.898698
0.986,0.106886,6.906267
0.987,0.107079,6.913836
0.988,0.107272,6.921404
0.989,0.107466,6.928972
0.99,0.10766,6.936539
0.991,0.107855,6.944106
0.992,0.10805,6.951672
0.993,0.108245,6.959237
0.994,0.10844,6.966801
0.995,0.108636,6.974365
0.996,0.108832,6.981929
0.997,0.109029,6.989491
0.998,0.109225,6.997054
0.999,0.109422,7.004615
1,0.10962,7.012177
1.0025,0.110114,7.031077
1.005,0.110611,7.049973
1.0075,0.11111,7.068866
1.01,0.11161,7.087756
1.0125,0.112113,7.106641
1.015,0.112617,7.125524
1.0175,0.113124,7.144403
1.02,0.113632,7.163278
1.0225,0.114142,7.18215
1.025,0.114654,7.201018
1.0275,0.115168,7.219883
1.03,0.115684,7.238745
1.0325,0.116202,7.257604
1.035,0.116722,7.276459
1.0375,0.117243,7.295311
1.04,0.117767,7.314159
1.0425,0.118292,7.333004
1.045,0.118819,7.351847
1.0475,0.119349,7.370686
1.05,0.11988,7.389522
1.0525,0.120413,7.408354
1.055,0.120947,7.427184
1.0575,0.121484,7.44601
1.06,0.122022,7.464833
1.0625,0.122563,7.483654
1.065,0.123105,7.50247
1.0675,0.123649,7.521285
1.07,0.124195,7.540096
1.0725,0.124742,7.558904
1.075,0.125292,7.57771
1.0775,0.125843,7.596512
1.08,0.126397,7.615311
1.0825,0.126952,7.634108
1.085,0.127508,7.652902
1.0875,0.128067,7.671692
