Wavelength,n,k
0.522,3.96632,1.171617
0.523,3.96765,1.16738
0.524,3.968963,1.163154
0.525,3.970259,1.158939
0.526,3.971538,1.154735
0.527,3.9728,1.150541
0.528,3.974046,1.146359
0.529,3.975275,1.142187
0.53,3.976488,1.138027
0.531,3.977685,1.133877
0.532,3.978865,1.129738
0.533,3.98003,1.12561
0.534,3.981178,1.121493
0.535,3.982311,1.117387
0.536,3.983428,1.113292
0.537,3.984529,1.109208
0.538,3.985615,1.105134
0.539,3.986686,1.101071
0.54,3.987741,1.09702
0.541,3.988781,1.092979
0.542,3.989806,1.088949
0.543,3.990817,1.08493
0.544,3.991812,1.080922
0.545,3.992793,1.076925
0.546,3.993759,1.072938
0.547,3.994711,1.068963
0.548,3.995649,1.064998
0.549,3.996572,1.061044
0.55,3.997481,1.057101
0.551,3.998376,1.053169
0.552,3.999257,1.049247
0.553,4.000124,1.045336
0.554,4.000978,1.041437
0.555,4.001818,1.037547
0.556,4.002644,1.033669
0.557,4.003457,1.029802
0.558,4.004257,1.025945
0.559,4.005043,1.022099
0.56,4.005816,1.018264
0.561,4.006577,1.014439
0.562,4.007324,1.010625
0.563,4.008058,1.006822
0.564,4.00878,1.00303
0.565,4.009489,0.999248
0.566,4.010185,0.995477
0.567,4.010869,0.991716
0.568,4.01154,0.987966
0.569,4.012199,0.984227
0.57,4.012846,0.980499
0.571,4.013481,0.976781
0.572,4.014104,0.973073
0.573,4.014715,0.969376
0.574,4.015314,0.96569
0.575,4.015901,0.962014
0.576,4.016477,0.958349
0.577,4.017041,0.954695
0.578,4.017593,0.95105
0.579,4.018134,0.947417
0.58,4.018664,0.943793
0.581,4.019183,0.94018
0.582,4.01969,0.936578
0.583,4.020186,0.932986
0.584,4.020671,0.929404
0.585,4.021146,0.925833
0.586,4.021609,0.922272
0.587,4.022062,0.918722
0.588,4.022504,0.915182
0.589,4.022935,0.911652
0.59,4.023356,0.908132
0.591,4.023767,0.904623
0.592,4.024167,0.901124
0.593,4.024556,0.897635
0.594,4.024936,0.894156
0.595,4.025305,0.890688
0.596,4.025665,0.88723
0.597,4.026014,0.883782
0.598,4.026353,0.880344
0.599,4.026683,0.876916
0.6,4.027003,0.873498
0.601,4.027313,0.870091
0.602,4.027614,0.866693
0.603,4.027905,0.863306
0.604,4.028186,0.859928
0.605,4.028458,0.856561
0.606,4.02872,0.853204
0.607,4.028974,0.849856
0.608,4.029218,0.846519
0.609,4.029453,0.843191
0.61,4.029679,0.839873
0.611,4.029896,0.836566
0.612,4.030104,0.833268
0.613,4.030303,0.82998
0.614,4.030493,0.826701
0.615,4.030675,0.823433
0.616,4.030848,0.820174
0.617,4.031012,0.816926
0.618,4.031168,0.813686
0.619,4.031315,0.810457
0.62,4.031454,0.807237
0.621,4.031584,0.804027
0.622,4.031706,0.800827
0.623,4.03182,0.797636
0.624,4.031926,0.794455
0.625,4.032023,0.791284
0.626,4.032113,0.788122
0.627,4.032194,0.78497
0.628,4.032268,0.781827
0.629,4.032333,0.778694
0.63,4.032391,0.77557
0.631,4.032442,0.772456
0.632,4.032484,0.769351
0.633,4.032518,0.766255
0.634,4.032546,0.763169
0.635,4.032565,0.760093
0.636,4.032578,0.757025
0.637,4.032582,0.753968
0.638,4.032579,0.750919
0.639,4.032569,0.74788
0.64,4.032552,0.74485
0.641,4.032527,0.741829
0.642,4.032496,0.738817
0.643,4.032457,0.735815
0.644,4.032411,0.732822
0.645,4.032359,0.729838
0.646,4.032299,0.726863
0.647,4.032232,0.723898
0.648,4.032159,0.720941
0.649,4.032078,0.717994
0.65,4.031991,0.715055
0.651,4.031898,0.712126
0.652,4.031797,0.709206
0.653,4.03169,0.706294
0.654,4.031577,0.703392
0.655,4.031457,0.700498
0.656,4.03133,0.697614
0.657,4.031198,0.694738
0.658,4.031058,0.691872
0.659,4.030913,0.689014
0.66,4.030761,0.686165
0.661,4.030603,0.683325
0.662,4.030439,0.680493
0.663,4.030269,0.677671
0.664,4.030092,0.674857
0.665,4.02991,0.672052
0.666,4.029722,0.669255
0.667,4.029527,0.666468
0.668,4.029327,0.663689
0.669,4.029121,0.660918
0.67,4.028909,0.658157
0.671,4.028691,0.655403
0.672,4.028468,0.652659
0.673,4.028239,0.649923
0.674,4.028005,0.647196
0.675,4.027764,0.644477
0.676,4.027518,0.641766
0.677,4.027267,0.639064
0.678,4.02701,0.636371
0.679,4.026748,0.633686
0.68,4.026481,0.631009
0.681,4.026207,0.628341
0.682,4.025929,0.625681
0.683,4.025646,0.623029
0.684,4.025357,0.620386
0.685,4.025063,0.617751
0.686,4.024764,0.615124
0.687,4.02446,0.612506
0.688,4.02415,0.609896
0.689,4.023836,0.607294
0.69,4.023517,0.6047
0.691,4.023192,0.602115
0.692,4.022863,0.599537
0.693,4.022529,0.596968
0.694,4.02219,0.594407
0.695,4.021846,0.591854
0.696,4.021498,0.589309
0.697,4.021145,0.586772
0.698,4.020787,0.584243
0.699,4.020424,0.581722
0.7,4.020057,0.579209
0.701,4.019685,0.576704
0.702,4.019309,0.574207
0.703,4.018928,0.571718
0.704,4.018542,0.569237
0.705,4.018152,0.566764
0.706,4.017757,0.564298
0.707,4.017359,0.561841
0.708,4.016956,0.559391
0.709,4.016548,0.556949
0.71,4.016137,0.554515
0.711,4.01572,0.552088
0.712,4.0153,0.54967
0.713,4.014876,0.547259
0.714,4.014447,0.544856
0.715,4.014015,0.54246
0.716,4.013577,0.540072
0.717,4.013137,0.537692
0.718,4.012692,0.535319
0.719,4.012243,0.532954
0.72,4.01179,0.530597
0.721,4.011333,0.528247
0.722,4.010872,0.525904
0.723,4.010407,0.52357
0.724,4.009939,0.521242
0.725,4.009467,0.518922
0.726,4.00899,0.51661
0.727,4.008511,0.514305
0.728,4.008027,0.512008
0.729,4.007539,0.509717
0.73,4.007048,0.507435
0.731,4.006554,0.505159
0.732,4.006055,0.502891
0.733,4.005553,0.50063
0.734,4.005048,0.498377
0.735,4.004539,0.496131
0.736,4.004026,0.493892
0.737,4.00351,0.491661
0.738,4.00299,0.489436
0.739,4.002467,0.487219
0.74,4.001941,0.485009
0.741,4.001411,0.482806
0.742,4.000878,0.480611
0.743,4.000342,0.478422
0.744,3.999802,0.476241
0.745,3.999259,0.474066
0.746,3.998713,0.471899
0.747,3.998163,0.469739
0.748,3.99761,0.467586
0.749,3.997055,0.46544
0.75,3.996495,0.463301
0.751,3.995933,0.461168
0.752,3.995368,0.459043
0.753,3.9948,0.456925
0.754,3.994228,0.454814
