wavelength,n,k
3.9043,1.46527,0.000838
3.9161,1.46457,0.000954
3.928,1.46435,0.000953
3.9399,1.46441,0.000835
3.9519,1.46401,0.000679
3.964,1.46296,0.000282
3.9762,1.46218,0.000235
3.9884,1.46218,0.000244
4.0007,1.46272,0.000679
4.0131,1.46294,0.00105
4.0255,1.46271,0.00114
4.0381,1.46285,0.00116
4.0507,1.46299,0.00107
4.0634,1.46306,0.00126
4.0762,1.46282,0.0013
4.089,1.4624,0.000793
4.102,1.46244,0.000629
4.115,1.46238,0.00131
4.1281,1.46223,0.00167
4.1413,1.46232,0.00136
4.1546,1.46264,0.00126
4.1679,1.46232,0.00128
4.1814,1.46169,0.00104
4.1949,1.46154,0.000868
4.2085,1.46154,0.00099
4.2222,1.46046,0.00105
4.236,1.46069,0.00174
4.2499,1.46084,0.00245
4.2639,1.4596,0.00255
4.278,1.45862,0.00289
4.2921,1.45681,0.00101
4.3064,1.45681,0.000334
4.3208,1.45864,0.000303
4.3352,1.45904,0.000543
4.3498,1.4584,0.000829
4.3644,1.45788,0.00104
4.3791,1.45761,0.000958
4.394,1.45777,0.000644
4.4089,1.4581,0.000418
4.424,1.45807,0.000625
4.4391,1.45714,0.000886
4.4544,1.45649,0.00106
4.4697,1.45693,0.00127
4.4852,1.45801,0.000945
4.5008,1.458,0.000745
4.5165,1.45696,0.000906
4.5323,1.45653,0.00129
4.5482,1.45631,0.00177
4.5642,1.45598,0.00174
4.5803,1.45578,0.00126
4.5965,1.45499,0.000815
4.6129,1.45416,0.000708
4.6294,1.45423,0.0012
4.646,1.45443,0.00162
4.6627,1.45416,0.00181
4.6795,1.45372,0.00201
4.6965,1.45299,0.00244
4.7136,1.45226,0.00246
4.7308,1.45226,0.00194
4.7481,1.45246,0.00141
4.7655,1.4517,0.00153
4.7831,1.45048,0.00185
4.8008,1.4499,0.00189
4.8187,1.44983,0.00224
4.8367,1.44946,0.00259
4.8548,1.44919,0.00257
4.873,1.44969,0.0027
4.8914,1.44959,0.00265
4.91,1.44909,0.00221
4.9286,1.44907,0.00167
4.9474,1.44852,0.00139
4.9664,1.44745,0.00136
4.9855,1.44646,0.0015
5.0047,1.44589,0.00227
5.0241,1.44547,0.00321
5.0437,1.44504,0.00357
5.0634,1.44421,0.00365
5.0832,1.4432,0.00387
5.1033,1.44302,0.00413
5.1234,1.44303,0.00384
5.1438,1.44191,0.003
5.1643,1.44083,0.00247
5.1849,1.43993,0.00236
5.2057,1.43833,0.00207
5.2267,1.43751,0.002
5.2479,1.43712,0.00253
5.2692,1.43607,0.0026
5.2907,1.43417,0.00207
5.3124,1.43151,0.00197
5.3343,1.4297,0.00206
5.3563,1.42899,0.00193
5.3785,1.42757,0.00197
5.4009,1.42504,0.00216
5.4235,1.42167,0.00275
5.4463,1.41887,0.00324
5.4693,1.41613,0.00359
5.4925,1.41305,0.00412
5.5159,1.40928,0.00486
5.5394,1.40449,0.00526
5.5632,1.39876,0.00545
5.5872,1.39099,0.0058
5.6114,1.38091,0.00647
5.6358,1.36577,0.00768
5.6604,1.34165,0.0115
5.6852,1.30456,0.0228
5.7103,1.25009,0.0866
5.7355,1.23791,0.226
5.761,1.35093,0.351
5.7867,1.53866,0.361
5.8127,1.65974,0.239
5.8389,1.65328,0.0948
5.8653,1.59795,0.0343
5.8919,1.55603,0.0198
5.9188,1.53346,0.0155
5.946,1.51987,0.013
5.9734,1.50926,0.00972
6.0011,1.50118,0.00838
6.029,1.49435,0.00827
6.0571,1.48764,0.00751
6.0856,1.48253,0.00694
6.1143,1.47884,0.00742
6.1433,1.47491,0.00667
6.1725,1.47097,0.00532
6.202,1.46765,0.00453
6.2319,1.46643,0.00401
6.262,1.46464,0.00408
6.2924,1.46087,0.00527
6.3231,1.45796,0.00606
6.3541,1.45577,0.00558
6.3854,1.45217,0.00537
6.417,1.44854,0.00648
6.4489,1.44671,0.00629
6.4811,1.4435,0.00542
6.5137,1.43762,0.00476
6.5466,1.4331,0.00505
6.5798,1.42853,0.00617
6.6134,1.42137,0.00768
6.6473,1.40897,0.013
6.6816,1.39643,0.0301
6.7162,1.40042,0.0529
6.7512,1.41623,0.0633
6.7865,1.42566,0.06
6.8223,1.42389,0.0622
6.8583,1.42504,0.0767
6.8948,1.44056,0.0895
6.9317,1.46227,0.0922
6.969,1.48677,0.081
7.0066,1.50018,0.0516
7.0447,1.48902,0.0248
7.0832,1.46778,0.0176
7.1221,1.45338,0.0218
7.1615,1.44778,0.0312
7.2013,1.45226,0.0384
7.2415,1.45885,0.0347
7.2822,1.45727,0.0269
7.3233,1.4518,0.0231
7.3649,1.44754,0.0208
7.407,1.44133,0.0192
7.4496,1.43513,0.0187
7.4926,1.42887,0.0185
7.5362,1.42116,0.0183
7.5803,1.41302,0.0195
7.6249,1.40311,0.0219
7.67,1.39055,0.0257
7.7156,1.37736,0.0329
7.7618,1.36279,0.0505
7.8086,1.356,0.0837
7.8559,1.37251,0.113
7.9038,1.39429,0.116
7.9523,1.39654,0.115
8.0014,1.402,0.136
8.0511,1.43148,0.149
8.1014,1.46033,0.129
8.1524,1.45648,0.0919
8.204,1.42126,0.0716
8.2562,1.37501,0.0884
8.3091,1.3525,0.149
8.3628,1.38616,0.209
8.4171,1.43783,0.216
8.4721,1.45665,0.198
8.5278,1.45144,0.197
8.5843,1.44384,0.225
8.6415,1.47054,0.29
8.6995,1.57107,0.329
8.7583,1.67665,0.272
8.8179,1.707,0.175
8.8783,1.68709,0.111
8.9395,1.65965,0.0751
9.0016,1.63459,0.0517
9.0645,1.61331,0.0396
9.1284,1.59709,0.0333
9.1931,1.58466,0.0309
9.2588,1.5741,0.0318
9.3254,1.56724,0.0363
9.393,1.56906,0.0383
9.4615,1.57283,0.0286
9.5311,1.56655,0.0147
9.6017,1.55438,0.00769
9.6733,1.54294,0.00546
9.7461,1.5326,0.00525
9.8199,1.52114,0.00758
9.8949,1.50686,0.0143
9.971,1.49485,0.0314
10.048,1.49934,0.0548
10.127,1.51852,0.0629
10.207,1.533,0.0566
10.288,1.53879,0.0532
10.37,1.54718,0.0509
10.453,1.55249,0.0409
10.538,1.54965,0.0304
10.625,1.54551,0.0241
10.713,1.53902,0.0196
10.802,1.53022,0.0187
10.893,1.52592,0.0233
10.985,1.52978,0.0262
11.079,1.5326,0.021
11.174,1.52964,0.0146
11.272,1.52531,0.0127
11.37,1.52193,0.0129
11.471,1.51569,0.0131
11.573,1.50969,0.0156
11.678,1.50613,0.0223
11.784,1.50876,0.0319
11.892,1.52141,0.0351
12.002,1.52918,0.0264
12.114,1.52647,0.0201
12.229,1.52535,0.0194
12.345,1.52615,0.0184
12.464,1.5235,0.0139
12.585,1.51869,0.0082
12.708,1.51532,0.00991
12.834,1.51185,0.0132
12.962,1.506,0.0151
13.093,1.49932,0.0273
13.227,1.50733,0.0448
13.363,1.53088,0.0427
13.502,1.53954,0.0247
13.645,1.53447,0.0124
13.79,1.52827,0.00591
13.938,1.52298,0.00135
14.0,1.520763918918919,-0.0005602702702702323
